site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
DV01,2004-12-21T09:40:00Z,0.7,0.2,NA,88.7,1.2,10671,NA,NA,NA
MC00,2003-01-23T15:56:00Z,0.3,73.4,1.4,107.4,3.7,1355,8.3,1.2,0.2
AT07,2005-05-25T11:38:00Z,0.5,245.7,3.8,243.9,3,1634,NA,NA,NA
RS02,2012-04-26T08:00:00Z,0.9,3,0.6,2.8,0.2,805,NA,NA,NA
AB00,2005-02-22T02:42:00Z,0.1,78,7,108.8,1.9,573,NA,NA,NA
GV01,2009-02-05T18:00:00Z,0.3,0.7,0.9,19.1,0.9,1455,NA,NA,NA
AT07,2005-05-01T10:44:00Z,1,89.2,6.8,116.8,3.6,1906,NA,NA,NA
ON02,2005-05-05T21:59:00Z,0.4,111.9,0.8,125.5,1.1,773,NA,NA,NA
RG01,2006-04-02T12:59:00Z,0.6,52.1,0.1,68,0.5,1170,NA,NA,NA
AB00,2008-11-26T08:35:00Z,1.6,40.3,4.5,75.9,3.1,247,NA,NA,NA
BC02,2006-04-04T02:30:00Z,1,124.2,7.1,180.2,8.5,432,NA,NA,NA
BC02,2005-11-09T13:30:00Z,0.5,379.3,6.3,550.3,7.3,1045,NA,NA,NA
RG01,2006-03-27T23:00:00Z,1.3,65.1,0.4,83.7,0.4,1303,NA,NA,NA
AT07,2006-05-22T02:06:00Z,1.2,43.6,6.4,69.3,8,517,NA,NA,NA
HO00,2003-11-11T10:30:00Z,0.1,5.4,1.9,12.7,1.6,1131,NA,NA,NA
MC00,2012-04-13T16:00:00Z,28.2,150.1,2,204.1,1.8,1375,NA,NA,NA
MC00,2006-05-03T16:24:00Z,4.5,33.9,0.3,44.2,0.7,1046,NA,NA,NA
AB00,2004-10-18T18:48:00Z,12.9,67.2,12.6,183.4,16.4,445,NA,NA,NA
AT07,2005-02-18T09:05:00Z,2.1,49.3,6.7,74.9,7.6,817,NA,NA,NA
RG01,2008-12-16T06:39:00Z,0.7,75.6,0.1,103.8,0.2,2960,NA,NA,NA
AB00,2009-02-16T10:55:00Z,0.3,15.4,8.5,44.6,9.5,279,NA,NA,NA
MC06,2009-12-15T04:30:00Z,1.2,110,3,163.6,1.5,1063,NA,NA,NA
RG01,2004-10-17T02:00:00Z,40.7,99.2,8.4,334.8,11.9,1258,403.3,28.5,3.1
MC00,2005-02-16T08:44:00Z,0.2,64.7,2.8,98.3,4.1,284,NA,NA,2.2
RS02,2008-11-20T12:40:00Z,6.1,4.1,0.1,17,0.2,524,NA,NA,NA
RG01,2009-02-07T00:40:00Z,0.1,92,1.2,103.8,0.8,2328,NA,NA,NA
MC00,2011-05-19T12:30:00Z,1.1,42.2,2.2,74.3,2.2,1247,NA,NA,NA
MC00,2004-09-01T14:11:00Z,1.8,16.7,2.9,49.1,5.9,1507,NA,NA,NA
RG01,2009-04-07T19:50:00Z,0.1,9.2,0.1,32.5,0.1,2249,NA,NA,NA
BC02,2006-04-06T14:20:00Z,0.8,196.6,0.9,232,0.2,689,NA,NA,NA
AB00,2005-04-28T14:13:00Z,2.9,69.8,4.3,108,2,1197,NA,NA,NA
ON02,2005-01-07T13:49:00Z,11.6,147.7,28.2,195.4,3.5,315,11073.4,1235.9,1449.2
GV01,2004-03-02T03:02:00Z,0.4,2.8,2.1,20.7,1.8,1431,NA,NA,NA
GV01,2005-01-21T15:47:00Z,1.7,67.3,8.9,93.8,5.6,1485,141.3,15.7,24.4
MC00,2004-12-06T08:20:00Z,0.4,78.4,4.8,99.1,5.1,138,162.5,11.9,0.9
GV01,2006-04-03T23:00:00Z,1,29.8,9.7,73.4,8.7,418,NA,NA,NA
RG01,2003-02-13T15:38:00Z,7.1,114.2,4,158.3,5.2,806,625.7,61.3,7.8
AB00,2009-02-17T19:55:00Z,1.1,32,8.4,62.8,4.9,776,NA,NA,NA
MC00,2004-10-19T17:55:00Z,8.9,31.4,8.9,77,9,103,2931.6,148.6,NA
RG01,2008-01-04T19:29:00Z,0.5,177.8,3.6,246.3,3.6,281,NA,NA,NA
SP02,2010-11-07T14:25:00Z,0.4,23.1,1.1,42.5,2.5,970,NA,NA,NA
AB00,2008-01-07T19:00:00Z,5.4,116,4.1,152.6,5,1165,NA,NA,NA
MC00,2003-02-12T04:35:00Z,7.5,22.7,5.4,151.6,17.6,105,2093.6,124,13.1
BC02,2009-02-16T12:55:00Z,76.8,353.2,14.3,446.3,20.1,521,NA,NA,NA
BC02,2009-02-17T19:35:00Z,30,358,2,518.1,1,752,NA,NA,NA
AB00,2009-03-04T11:30:00Z,0.9,15,2.2,39.4,2.4,357,NA,NA,NA
RG01,2009-02-18T08:34:00Z,0.6,81.7,0.9,106.6,0.2,1206,NA,NA,NA
ON02,2008-01-27T07:59:00Z,1.1,213,1.6,237.4,1.7,335,NA,NA,NA
AB00,2008-11-26T00:35:00Z,0.1,49.1,3.7,74.5,2.4,243,NA,NA,NA
RG01,2012-01-23T10:00:00Z,1.4,84.2,1.1,144.1,0.9,853,NA,NA,NA
AB00,2004-01-02T02:23:00Z,13.6,117.1,2.9,160.6,2.9,2203,NA,NA,NA
SP02,2008-12-25T12:15:00Z,1.1,64.3,4,107.9,5.9,2143,NA,NA,NA
RS02,2005-01-02T22:35:00Z,0.6,84.1,2.4,82.5,1.1,380,NA,NA,NA
AB00,2004-10-28T07:51:00Z,13.9,46.3,8.7,101.5,6.3,1395,NA,NA,NA
MC00,2009-12-11T22:55:00Z,4.3,43,11.8,111.5,12.4,407,NA,NA,NA
RG01,2004-04-21T11:52:00Z,0.1,6.2,1.1,26.2,0.7,2480,NA,NA,NA
TO02,2008-01-22T18:00:00Z,0.3,125.3,0.8,143.8,1.4,1264,NA,NA,NA
MC00,2001-12-02T13:45:00Z,0.3,130.2,6.6,132.3,6.5,NA,12.9,0.9,0.1
HO00,2001-08-01T09:30:00Z,0.2,24.2,1.6,29.3,0.7,NA,NA,NA,NA
AB00,2009-02-07T06:45:00Z,0.2,21.9,7.7,42.2,8.1,210,NA,NA,NA
AB00,2011-03-24T20:00:00Z,1.9,76.8,0.5,99,2.2,987,NA,NA,NA
RS02,2010-12-18T15:29:00Z,1.3,14,1.6,43.1,2.3,628,NA,NA,NA
RS02,2004-02-22T16:00:00Z,0.1,1.8,2.1,9.6,1.8,764,NA,NA,NA
SP02,2009-03-04T21:15:00Z,12.7,94,7.7,89.7,8.7,933,NA,NA,NA
MC00,2009-02-16T19:59:00Z,1.8,47.8,8.4,81.7,8.2,601,NA,NA,NA
AT07,2005-03-22T14:14:00Z,1.2,32,9.5,59.7,10.7,264,NA,NA,NA
AT07,2004-10-19T23:23:00Z,0.4,79.1,14.2,160.2,15.6,560,NA,NA,NA
MC00,2009-02-06T12:10:00Z,0.9,23.4,4.7,43.8,5.1,191,NA,NA,NA
AT07,2006-03-28T18:18:00Z,2,72.1,11.5,128.6,11.9,645,NA,NA,NA
MC00,2009-12-13T11:40:00Z,8.7,267.8,8.3,360.1,8.4,550,NA,NA,NA
GV01,2004-11-10T14:54:00Z,32,3.8,5,69.3,5,1579,52.2,7.9,1.2
MC00,2004-08-06T12:30:00Z,1,27,1.6,61.9,5.9,1507,NA,NA,NA
RG01,2005-10-03T12:58:00Z,0.5,128.5,0.2,151.9,0.8,2414,NA,NA,NA
AB00,2009-02-07T15:45:00Z,3.1,30,9.6,62.9,10.7,535,NA,NA,NA
AT07,2006-02-19T20:11:00Z,0.3,358,5.6,78.3,6.2,794,NA,NA,NA
AB00,2009-02-17T20:54:00Z,1.5,34.9,8.4,68.5,5.2,828,NA,NA,NA
BC02,2004-10-27T13:20:00Z,2.1,839,8.4,1022.8,7.4,2535,NA,NA,NA
AB00,2005-02-21T06:26:00Z,0.9,79.1,20.8,123.1,19.1,346,NA,NA,NA
AB00,2003-02-14T03:57:00Z,4.2,75.6,10.1,118.3,6.2,1219,88.7,8.8,1.5
MC00,2006-03-20T11:13:00Z,1.1,75.8,0.8,95.5,2.3,1230,NA,NA,NA
MC00,2003-04-12T11:35:00Z,0.4,65.5,1.1,65.8,1.4,1441,8.2,0.9,NA
RS02,2008-01-27T21:03:00Z,0.1,117.5,0.4,136.9,0.6,266,NA,NA,NA
RG01,2003-02-12T19:49:00Z,0.5,130.9,2,151.1,3,1183,145.5,13.4,3.4
AB00,2009-02-06T03:45:00Z,0.9,28.2,3.7,63.9,5.5,508,NA,NA,NA
RS02,2008-01-04T23:54:00Z,0.3,134.4,1.4,155.5,0.8,223,NA,NA,NA
RS02,2008-01-26T21:03:00Z,0.2,89,0.1,122.1,0.4,410,NA,NA,NA
DV01,2005-11-09T09:40:00Z,15.6,72.7,22.9,154,22.7,386,NA,NA,NA
RG01,2008-12-15T04:40:00Z,1.5,59.4,1.3,97.5,3.2,2105,NA,NA,NA
ON02,2009-01-14T13:00:00Z,0.4,0.2,0.2,10.6,0.3,1249,NA,NA,NA
RG01,2006-04-05T02:00:00Z,0.3,75,1.3,104.4,2.6,368,NA,NA,NA
GV01,2003-10-07T12:27:00Z,0.2,0.9,1.1,17.7,2.1,1476,NA,NA,NA
ON02,2005-10-26T14:05:00Z,11.5,0.1,0.8,8.7,0.5,1089,NA,NA,NA
RS02,2003-11-09T20:29:00Z,0.1,0.9,1.3,17.9,1.5,865,NA,NA,NA
BC02,2005-02-08T15:42:00Z,0.2,685.5,2.4,708.7,0.6,1672,NA,NA,NA
HO00,2011-03-20T05:45:00Z,0.3,38.9,NA,98.4,1.6,180,NA,NA,NA
MC00,2006-03-27T19:24:00Z,3.4,49.8,1.4,91.4,1.8,1164,NA,NA,NA
RG01,2005-02-26T21:44:00Z,0.3,203.4,2.3,212.4,0.3,630,NA,NA,NA
AB00,2005-01-09T00:45:00Z,1.2,84.4,30.8,118.5,24.4,331,NA,NA,NA
HO00,2005-11-02T08:52:00Z,0.1,2.1,0.5,5.4,0.1,1046,NA,NA,NA
ON02,2005-01-27T02:01:00Z,0.1,156.9,1.9,163.8,0.4,959,27.3,1.5,0.3
AB00,2004-02-04T09:57:00Z,4.5,52.4,2.3,75.6,3.8,1262,NA,NA,NA
AB00,2008-11-26T12:35:00Z,1.5,48,9.4,86.6,4.1,299,NA,NA,NA
AT07,2003-05-04T12:05:00Z,0.3,29.4,8.2,75.7,10,1060,NA,NA,NA
MC00,2005-01-03T14:28:00Z,1,110.6,5.6,143.6,4.1,341,275.1,9.3,1.2
MC00,2005-11-09T21:35:00Z,0.3,91.2,7.4,139.2,8.4,633,NA,NA,NA
RG01,2006-05-23T08:14:00Z,2.2,85.6,0.6,110.1,1.5,1283,NA,NA,NA
MC00,2006-03-17T16:21:00Z,1.7,40.1,2.9,72.9,1.8,429,NA,NA,NA
MC00,2011-02-16T07:14:00Z,1.1,25.2,4,56.5,5,266,NA,NA,NA
MC00,2010-01-19T13:25:00Z,8.2,145.1,7.4,195.7,19.9,261,NA,NA,NA
RS02,2009-02-07T04:20:00Z,18.5,46.6,8.5,99.8,7.3,689,12583.8,1088,NA
GV01,2005-03-18T21:52:00Z,0.1,31.8,3.7,48.4,1.7,1338,274.1,32.7,56.3
AB00,2005-02-21T01:35:00Z,1.5,65.9,25.3,107.8,19.7,404,NA,NA,NA
MC00,2008-01-27T18:18:00Z,0.5,132.6,2.4,168.1,2.8,349,NA,NA,NA
AT07,2005-03-23T02:00:00Z,1.7,95.7,11.9,152.9,10.8,1030,NA,NA,NA
GV01,2009-02-18T07:50:00Z,0.1,6.8,1.2,22.1,1.1,1288,NA,NA,NA
MC00,2006-03-27T22:20:00Z,3.8,39.2,3.6,89.4,5.4,280,NA,NA,NA
MC00,2004-04-07T09:50:00Z,1.3,55.3,0.6,91.6,1.5,1470,NA,NA,NA
RS02,2003-11-09T12:56:00Z,0.2,1,1.8,19.5,1.8,851,NA,NA,NA
RS02,2005-03-22T20:47:00Z,0.2,34.6,0.4,53.6,0.5,287,NA,NA,NA
ON02,2008-02-23T19:59:00Z,0.3,5.1,0.4,14.4,0.7,NA,NA,NA,NA
MC00,2006-03-10T21:46:00Z,0.9,23.8,1.5,50,1.5,793,NA,NA,NA
RS02,2008-01-26T22:03:00Z,0.1,88.9,0.3,101.2,0.4,397,NA,NA,NA
RG01,2007-02-23T08:55:00Z,0.6,150.2,2.1,238.3,3,1847,NA,NA,NA
GV01,2005-04-28T13:29:00Z,0.4,17.8,4,45.1,0.6,1322,275.2,29.5,71.7
RG01,2007-04-04T19:25:00Z,0.4,104.1,0.1,144,0.5,1506,NA,NA,NA
AB00,2003-06-05T11:49:00Z,1.4,87.3,1.8,116.8,1.2,2443,8.9,1.4,NA
AB00,2004-12-28T15:00:00Z,0.8,64.2,8.2,97.9,7.9,379,NA,NA,NA
BC02,2004-12-28T12:30:00Z,0.6,345.9,2.8,373.6,2.2,668,NA,NA,NA
RG01,2006-02-15T10:28:00Z,0.9,136.8,0.5,143.3,0.3,1848,NA,NA,NA
RG01,2003-02-13T20:50:00Z,1.5,104,2.1,130.7,3.6,880,137.6,12.3,2.6
GV01,2004-03-02T05:02:00Z,0.6,3,2.2,21,2.6,1441,NA,NA,NA
MC00,2003-11-09T10:14:00Z,3.3,57.1,8.1,109.7,9.6,308,NA,NA,NA
RS02,2010-02-27T21:25:00Z,1.5,214.1,1.1,229.4,2,310,11474.5,1084.5,NA
AT07,2006-05-25T11:17:00Z,1.7,46.1,3,71.9,6.7,2130,NA,NA,NA
RG01,2001-01-08T00:00:00Z,8.4,393.2,2.7,448.7,1.3,NA,NA,NA,NA
ON02,2004-12-27T16:52:00Z,29.1,683.5,NA,704.2,2.2,467,14028.3,1433.4,585.1
RG01,2004-10-20T01:46:00Z,0.1,120.1,5.3,208.5,7,666,537.2,45.5,3.7
RS02,2009-02-08T13:19:00Z,2.6,7.5,1.6,25.1,2.2,906,NA,NA,NA
TO02,2005-10-26T12:58:00Z,0.3,505.9,0.9,455,0.6,1463,NA,NA,NA
AB00,2005-03-26T10:03:00Z,10,107.5,1,112.8,0.4,1591,NA,NA,NA
SP02,2009-02-17T18:20:00Z,4,281.1,6.3,337.7,2.5,451,NA,NA,NA
ON02,2008-02-24T10:59:00Z,0.7,69.3,0.5,140.8,0.8,NA,NA,NA,NA
AT07,2007-01-27T20:55:00Z,4.5,35.6,9.3,99.5,9.7,1645,NA,NA,NA
BC02,2006-03-27T17:30:00Z,0.6,2.3,1.6,50,4,1610,NA,NA,NA
MC06,2003-07-30T20:15:00Z,0.5,11.1,2.8,23.7,3.3,1239,74.6,5.9,NA
RG01,2005-04-28T04:30:00Z,0.3,274.7,0.8,283.2,0.4,1447,42.9,4.1,NA
AB00,2011-03-25T16:20:00Z,2.5,46.8,0.5,78.9,2,722,NA,NA,NA
MC00,2006-04-03T17:55:00Z,4.2,23.9,7.6,57,8.4,195,NA,NA,NA
AB00,2004-07-21T11:57:00Z,2,751.1,1.5,72.3,4.5,2468,NA,NA,NA
BC02,2006-03-29T14:35:00Z,1.6,284.8,2.8,335.1,5.3,1021,NA,NA,NA
RG01,2009-02-07T07:40:00Z,0.3,118.1,3,149.8,2.4,538,NA,NA,NA
RG01,2004-05-26T11:24:00Z,1,1,1.7,22.6,0.8,2847,NA,NA,NA
RG01,2009-02-16T09:54:00Z,0.3,189.7,3.4,236.8,3.9,1023,NA,NA,NA
RG01,2005-12-02T18:51:00Z,0.6,137.2,0.5,164.7,1.1,1807,NA,NA,NA
HO00,2007-05-31T16:03:00Z,0.1,5,0.1,24.2,1.3,2888,NA,NA,NA
TO02,2007-01-28T22:00:00Z,0.1,204,0.1,263.1,0.3,1376,NA,NA,NA
MC00,2005-11-09T06:59:00Z,14.8,84.3,7.8,162.7,9.8,217,NA,NA,NA
RS02,2005-01-03T00:37:00Z,0.1,67.7,2.3,84.1,1.5,268,NA,NA,NA
AT07,2005-02-23T02:10:00Z,0.6,48.1,9.1,192.9,16,1083,NA,NA,NA
AB00,2010-12-20T23:59:00Z,1.3,199.2,7.8,277.5,8.1,836,NA,NA,NA
AT07,2006-04-05T07:15:00Z,1.1,92.5,11.1,155.6,11.7,1008,NA,NA,NA
AB00,2009-02-19T00:00:00Z,8.6,47.5,4.4,88.2,4,1548,NA,NA,NA
HO00,2011-03-20T19:45:00Z,0.2,63.8,NA,97.5,1,222,NA,NA,NA
AB00,2003-03-15T01:21:00Z,4.5,67.5,3,113.4,2.8,7,225.1,16.8,3.3
BC02,2005-11-09T00:50:00Z,1,1103.9,0.9,1575.2,0.9,267,NA,NA,NA
DV01,2006-06-16T14:10:00Z,5.2,5.5,6,81.4,7.3,6,NA,NA,NA
GV01,2008-02-11T13:20:00Z,0.6,49.4,2.3,82.3,2.3,1608,NA,NA,NA
RG01,2004-10-28T06:26:00Z,0.3,63.1,2.9,85.4,2.9,2136,21.4,1.5,0.2
MC00,2001-02-19T12:00:00Z,8.7,26.9,3.4,52.8,3,149,686.7,39,4.3
GV01,2009-02-05T07:00:00Z,0.1,2.2,0.6,23.3,1.4,1581,NA,NA,NA
RG01,2006-03-11T05:00:00Z,0.2,81.2,0.1,92.9,1,1096,NA,NA,NA
AB00,2009-04-08T04:50:00Z,0.7,36.5,0.2,118.6,1.4,1571,NA,NA,NA
MC00,2010-12-19T20:00:00Z,1.3,142.1,9.6,177.1,9.9,278,NA,NA,NA
MC00,2005-01-15T10:18:00Z,0.1,85.8,4.2,89.3,1.4,668,23,2.2,0.2
BC02,2009-02-17T00:30:00Z,16.2,207.4,5.5,277.5,6.3,467,NA,NA,NA
RS02,2003-03-15T15:00:00Z,0.1,99.9,1.7,138.9,3,259,NA,NA,NA
RG01,2004-02-22T04:57:00Z,0.2,33.4,1.1,51.9,1.3,2193,NA,NA,NA
GV01,2003-05-28T11:44:00Z,0.1,0.6,1.3,12.3,1.4,1388,10,1.2,NA
RG01,2004-02-23T17:56:00Z,0.4,70.5,1.4,90.3,1.5,1831,NA,NA,NA
RG01,2003-04-14T03:37:00Z,0.2,114.6,1.3,138.2,2.3,1398,21.5,2.1,NA
GV01,2005-03-24T15:38:00Z,1.2,57,5.6,68.7,2.9,1074,NA,NA,NA
ON02,2008-02-24T06:59:00Z,0.4,58.8,0.8,90.5,0.8,NA,NA,NA,NA
MC00,2005-03-03T16:30:00Z,0.2,24.7,1.7,38.2,0.3,767,14.8,0.6,0.1
ON02,2008-02-24T22:56:00Z,0.8,58.8,0.4,80,0.7,NA,NA,NA,NA
AB00,2009-01-29T14:15:00Z,13.6,44.8,1.2,77.2,1.4,1994,NA,NA,NA
RG01,2008-03-26T12:20:00Z,0.6,138.8,0.1,167,0.5,NA,NA,NA,NA
RG01,2005-02-18T02:31:00Z,0.3,244,1.8,284.5,0.7,1340,317.3,31.4,13.4
MC00,2009-02-17T22:40:00Z,0.2,36.9,3.6,66.5,2.3,705,NA,NA,NA
AB00,2001-03-04T21:20:00Z,3.1,47,17.2,82.4,7.4,303,12955,1160.5,860.8
BC02,2007-01-29T17:10:00Z,0.7,1031,4.6,1161.1,4.4,897,NA,NA,NA
RG01,2005-01-28T09:01:00Z,0.2,298,2.8,316.4,1.3,1463,NA,NA,31.9
RG01,2004-12-31T22:49:00Z,0.5,176.9,3.1,200.7,1,399,312.7,31.2,9.2
AB00,2010-04-05T15:45:00Z,0.8,28.4,1.9,101.6,3.4,1893,NA,NA,NA
SP02,2009-02-17T16:20:00Z,7.7,278.8,6.2,351.5,2.5,422,NA,NA,NA
DV01,2006-08-21T10:00:00Z,12.9,1.9,2.5,76.8,3.4,4762,NA,NA,NA
MC00,2006-03-30T07:34:00Z,0.9,26.4,1.1,51.2,1.6,794,NA,NA,NA
MC00,2007-02-11T00:19:00Z,8.6,22.3,6.2,120.3,9.2,109,NA,NA,NA
AB00,2004-02-25T19:38:00Z,5.4,61.6,21.5,104.5,28.2,263,NA,NA,NA
RG01,2005-09-07T10:00:00Z,0.3,139.6,NA,163.3,0.5,2257,NA,NA,NA
BC02,2009-02-17T20:35:00Z,33.9,357.8,2.5,519.4,1.3,762,NA,NA,NA
RG01,2005-01-01T19:49:00Z,0.2,157.4,2.7,192,0.8,597,NA,NA,NA
RS02,2008-12-15T14:30:00Z,7.8,40.1,3.2,87.4,3.9,807,NA,NA,NA
SP02,2009-03-04T17:25:00Z,12.8,112.7,7.9,164.8,8,829,NA,NA,NA
AT07,2005-11-21T11:17:00Z,0.4,188.6,8,227.2,8.1,1973,NA,NA,NA
GV01,2005-01-07T20:05:00Z,0.3,103.1,12.5,142.3,12.9,486,4020.7,314.4,481.1
RS02,2005-02-19T00:12:00Z,0.1,2.4,1.4,3.7,0.2,592,NA,NA,NA
RS02,2005-02-23T02:56:00Z,0.1,47,1.8,60.4,0.3,288,NA,NA,NA
RG01,2005-01-08T00:01:00Z,0.2,115.5,4.7,140.5,3.7,365,NA,NA,15.2
GV01,2005-01-10T00:05:00Z,0.3,104.6,22.7,130.5,22.3,496,9845,925.7,1567.7
AT07,2006-03-19T08:45:00Z,2.3,76.4,5.6,100.2,6.2,1640,NA,NA,NA
RG01,2006-02-27T17:18:00Z,0.3,103,0.5,121.4,0.6,1380,NA,NA,NA
SP02,2011-02-20T19:32:00Z,0.8,83.7,0.2,114,1.5,865,NA,NA,NA
BC02,2008-01-28T06:15:00Z,0.5,207.4,2.3,221.7,2.5,404,NA,NA,NA
AB00,2003-04-14T07:10:00Z,1.8,26.1,8,70.5,7,406,353.3,39.7,NA
MC00,2007-04-04T21:06:00Z,1.6,16.5,0.6,72.8,1.4,804,NA,NA,NA
MC00,2008-12-15T08:20:00Z,2.6,36.7,6,59.2,6.7,249,NA,NA,NA
GV01,2006-02-18T14:35:00Z,0.8,48.4,2.7,17.6,0.5,1415,NA,NA,NA
GV01,2004-12-30T08:28:00Z,0.1,112.5,1.5,138.4,1.9,836,750.4,65.3,17.5
RG01,2008-01-24T08:41:00Z,0.6,219.8,1.7,264,2.6,515,NA,NA,NA
RG01,2004-12-27T18:39:00Z,0.7,244.1,2.6,286.4,3.7,1283,179.2,13.2,3.6
ON02,2004-10-22T11:56:00Z,42.5,9.3,3.5,145,3.6,1288,NA,NA,NA
GV01,2006-03-28T01:21:00Z,0.3,0.8,0.5,17.1,0.7,1396,NA,NA,NA
MC00,2001-11-12T17:45:00Z,5.9,59.3,14.2,114.4,15.4,NA,1911.6,145.3,32.3
RG01,2004-12-28T06:39:00Z,0.2,226.2,3.5,283.5,2.7,309,4587.1,311.7,57.5
RS02,2011-03-21T14:25:00Z,0.8,85.8,NA,141,1.1,305,NA,NA,NA
AB00,2008-02-24T01:00:00Z,0.6,21,6.3,50.3,6.7,NA,NA,NA,NA
GV01,2009-02-16T15:30:00Z,0.4,29.7,3.2,75.5,2.7,684,NA,NA,NA
BC02,2009-02-17T14:30:00Z,39.8,377,2.9,518.8,3,737,NA,NA,NA
AB00,2009-02-16T02:55:00Z,4.4,37.6,1.4,56.5,1.1,1366,NA,NA,NA
ON02,2005-03-23T16:59:00Z,1.2,250.4,0.3,231,0.1,598,NA,NA,NA
DV01,2004-02-20T09:15:00Z,6.9,32.6,3.5,81.6,4,2429,NA,NA,NA
ON02,2004-10-20T16:28:00Z,126.6,68.1,13.2,455.5,17.9,702,67499,6008,547
RG01,2009-02-18T00:35:00Z,0.4,80.1,0.1,106.7,0.3,1101,NA,NA,NA
RS02,2009-10-14T00:05:00Z,43.4,45.6,1.2,127.4,2.6,406,NA,NA,NA
AT07,2005-02-11T10:19:00Z,0.1,31.5,4.9,49.1,4.5,402,NA,NA,NA
ON02,2005-02-21T17:10:00Z,2.1,327.6,1.6,359.4,0.4,422,11828,1306.3,580.8
AB00,2008-03-13T12:45:00Z,2.1,66.1,0.1,95.3,0.8,NA,NA,NA,NA
GV01,2006-02-27T14:51:00Z,0.2,19.6,0.5,13.9,0.5,1385,NA,NA,NA
AB00,2008-01-06T18:09:00Z,0.4,85.5,4.4,127.9,5.3,833,NA,NA,NA
AB00,2008-01-04T07:58:00Z,16.3,64.4,0.9,109,0.6,218,NA,NA,NA
RG01,2008-01-23T14:41:00Z,1.2,194.6,11.1,227.5,9.4,273,NA,NA,NA
ON02,2005-05-06T07:01:00Z,0.7,94.7,0.8,101.7,0.6,898,NA,NA,NA
MC00,2006-02-27T15:49:00Z,8.5,25.4,5.2,118.6,5.7,284,NA,NA,NA
BC02,2005-12-31T14:23:00Z,0.5,354,10.3,397.1,11.1,555,NA,NA,NA
GV01,2005-01-06T16:31:00Z,1.3,74.9,6,85.6,2.4,1223,NA,NA,NA
MC00,2007-04-20T11:51:00Z,7.7,42.1,7.8,110.7,7.8,2218,NA,NA,NA
GV01,2006-04-14T18:30:00Z,4.5,5.7,1.4,24.4,2.2,1243,NA,NA,NA
TO02,2004-11-10T12:48:00Z,0.9,0.2,2,16.8,2.2,2742,NA,NA,NA
RS02,2008-12-14T23:30:00Z,1,6.8,0.7,22.5,0.9,997,NA,NA,NA
AB00,2011-12-16T08:15:00Z,15.4,60.2,0.7,91.6,0.8,1837,NA,NA,NA
MC00,2011-02-26T13:25:00Z,0.2,41.9,NA,76.7,3.3,612,NA,NA,NA
RS02,2009-10-14T02:05:00Z,46.5,96.5,1.6,347.1,5.1,595,115927.3,8598.8,NA
MC00,2011-03-24T22:00:00Z,0.6,45.4,1.4,104.3,3.6,418,NA,NA,NA
ON02,2005-12-21T12:20:00Z,2.2,2.4,0.4,14.7,0.1,998,NA,NA,NA
GV01,2004-10-26T15:55:00Z,33.1,32.5,5.5,117.9,5.2,1035,49744.8,4745.4,2894
GV01,2008-12-15T16:05:00Z,1.4,17.8,1.2,53.4,2,989,NA,NA,NA
AT07,2006-04-06T20:36:00Z,0.5,94.2,5.8,120.7,5,1997,NA,NA,NA
MC06,2011-07-22T14:25:00Z,0.8,6.7,2.1,15.1,1.8,1093,NA,NA,NA
ON02,2005-02-22T03:11:00Z,1.8,285.3,1.4,312.7,0.2,448,14501.4,1495.9,606
RS02,2003-11-09T18:26:00Z,0.2,0.9,1.7,20.3,1.6,861,NA,NA,NA
RG01,2003-05-02T11:24:00Z,0.1,89.1,0.8,111.9,1.8,1613,15.2,1.8,NA
AB00,2010-12-19T23:59:00Z,1.8,170.5,11.2,257.6,11.4,441,NA,NA,NA
ON02,2007-10-09T14:10:00Z,4.8,3,0.4,10,0.2,1342,NA,NA,NA
MC06,2010-01-20T09:00:00Z,9.1,263.6,2.1,320.3,16.3,379,NA,NA,NA
RG01,2008-01-06T00:29:00Z,0.4,175.7,2.2,217,2.5,250,NA,NA,NA
MC00,2003-12-23T16:44:00Z,0.2,64.8,7,124.8,8.6,184,NA,NA,NA
AB00,2008-01-06T08:09:00Z,0.3,212.5,3.7,254.3,2.3,611,NA,NA,NA
GV01,2011-02-25T17:00:00Z,0.1,0.8,NA,42.2,2.5,1486,NA,NA,NA
GV01,2002-11-08T17:51:00Z,5.8,1.2,3.6,219.2,27.8,970,1727.4,214.8,55.7
GV01,2006-03-28T07:53:00Z,0.2,2.4,0.9,24,1,1369,NA,NA,NA
GV01,2006-04-03T09:30:00Z,0.9,1.6,0.9,14.6,0.8,1069,NA,NA,NA
MC00,2011-03-21T18:10:00Z,0.4,75.65,4.15,130.45,5.55,336.5,NA,NA,NA
AT07,2005-01-28T05:30:00Z,0.2,124.1,10.4,150.2,7.3,2323,NA,NA,NA
GV01,2005-02-21T00:05:00Z,1.3,28.9,38.4,62.9,36.6,406,14206,1316.6,4626.2
MC00,2011-02-20T23:56:00Z,0.8,22.3,1.7,58,2.8,1151,NA,NA,NA
AB00,2009-02-18T07:55:00Z,4.6,38.3,6.8,74.6,5.4,1266,NA,NA,NA
AB00,2005-02-21T03:45:00Z,1.6,66.7,24.3,91.4,4.2,429,NA,NA,NA
RS02,2012-04-13T14:00:00Z,0.8,18.3,5.6,66.8,4.1,130,NA,NA,NA
