site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
AB00,2001-05-08T16:20:00Z,7.3,109.5,1.8,139.3,4.3,NA,NA,NA,NA
RG01,2004-10-23T00:06:00Z,0.4,0.8,2.2,34.6,3.3,2631,NA,NA,NA
RS02,2007-04-20T09:15:00Z,0.5,10.6,2.3,45.9,1.9,110,NA,NA,NA
AB00,2003-11-04T13:26:00Z,10.8,164.5,4.9,245.1,5.1,1671,NA,NA,NA
RS02,2005-10-21T08:04:00Z,0.1,6,0.4,16,0.6,842,NA,NA,NA
DV01,2006-02-17T16:00:00Z,14.3,287.2,2,291.7,2.4,4402,NA,NA,NA
MC00,2010-12-22T00:19:00Z,0.8,138.4,4.2,185.8,5.8,510,NA,NA,NA
AB00,2005-01-10T01:46:00Z,0.3,108.9,14.5,127.1,10,467,NA,NA,NA
MC00,2003-05-07T11:46:00Z,0.1,59,2.8,33.7,2.7,916,8.6,1,NA
GV01,2006-04-03T15:30:00Z,0.7,15.7,6.2,60.5,6.6,448,NA,NA,NA
AB00,2009-01-06T14:45:00Z,11.8,80.3,0.6,123.8,1.6,2282,NA,NA,NA
MC00,2012-03-16T22:35:00Z,1.9,32.5,0.3,51.9,0.6,1446,NA,NA,NA
GV01,2004-10-29T15:33:00Z,41.2,5.4,5.8,90.1,5,1588,56,6.3,1.1
AT07,2006-04-03T09:18:00Z,3.5,45.2,4,74.3,4.7,905,NA,NA,NA
AT07,2005-02-18T17:58:00Z,1.5,61.7,9.9,94.7,8.7,1278,NA,NA,NA
BC02,2005-06-15T12:51:00Z,0.8,1782.8,1.3,1730.1,1.4,2601,NA,NA,NA
GV01,2009-02-06T01:00:00Z,1.2,0.9,0.7,18.1,0.7,1288,NA,NA,NA
RG01,2012-03-17T22:00:00Z,1.8,208.4,NA,296.8,0.8,1680,NA,NA,NA
ON02,2005-03-23T16:55:00Z,1.7,257.1,0.2,246.8,0.6,615,1179.8,227,95.7
GV01,2006-02-27T21:51:00Z,0.3,19.1,1.9,32.8,2.2,855,NA,NA,NA
AT07,2004-10-26T17:00:00Z,9.7,62.3,11,92.3,10.7,216,NA,NA,NA
RS02,2005-11-09T14:09:00Z,0.6,6.6,0.3,21.7,1.1,712,NA,NA,NA
RG01,2009-02-08T03:40:00Z,1.7,77,0.9,94.6,0.9,1323,NA,NA,NA
MC00,2005-04-26T15:08:00Z,0.8,29.9,0.2,44.3,0.1,1022,NA,NA,NA
GV01,2006-03-28T06:21:00Z,0.6,1,0.6,19.8,0.6,1453,NA,NA,NA
DV01,2006-04-03T08:45:00Z,4.2,49.1,5.8,98.2,6.6,755,NA,NA,NA
ON02,2006-05-23T19:11:00Z,1.1,0.6,0.3,11.7,1.1,927,NA,NA,NA
BC02,2006-03-06T15:45:00Z,1,324.4,6,387.9,5.8,913,NA,NA,NA
ON02,2005-02-17T04:01:00Z,0.1,77.6,1.2,89.2,0.2,947,19.9,2,NA
ON02,2006-05-22T15:10:00Z,1.9,3.1,1.4,8.6,2.9,833,NA,NA,NA
ON02,2004-12-30T17:01:00Z,16.8,546.8,0.7,529.4,1,404,9512.4,409,240.6
ON02,2006-04-14T16:35:00Z,0.5,59.8,1.6,56.5,0.7,736,NA,NA,NA
GV01,2009-02-16T17:30:00Z,0.9,34.4,3,79.2,2.5,749,NA,NA,NA
RS02,2006-01-25T09:00:00Z,0.2,1,NA,17.7,0.2,748,NA,NA,NA
MC00,2009-02-16T04:00:00Z,1.3,20.7,3.1,45.3,3.5,121,NA,NA,NA
GV01,2006-03-10T20:00:00Z,2,0.6,0.3,32.1,2.7,1342,NA,NA,NA
RS02,2005-03-19T01:44:00Z,0.1,3.1,0.1,6.1,0.1,608,NA,NA,NA
AB00,2001-02-26T05:05:00Z,0.3,42.2,13,75.1,14.6,466,3542.6,552.7,298.5
DV01,2006-03-05T20:33:00Z,23.1,57.2,9.6,157.1,9.2,2037,NA,NA,NA
MC00,2006-02-28T07:59:00Z,0.2,82.2,3.7,113.6,3.8,356,NA,NA,NA
AB00,2005-01-09T16:08:00Z,1.1,99.8,36.9,130.1,32.2,351,NA,NA,NA
GV01,2007-04-20T14:00:00Z,0.9,0.5,0.6,56.9,0.2,2848,NA,NA,NA
ON02,2005-03-24T14:42:00Z,1,248,0.4,240.5,0.3,726,208.4,24.2,10.5
AB00,2003-03-03T11:49:00Z,8.4,63.6,2.6,101.4,3.2,2199,18.3,1.7,0.3
RS02,2008-12-17T10:19:00Z,0.5,2.7,0.6,18.1,2.2,2222,NA,NA,NA
GV01,2005-11-10T06:16:00Z,0.1,30.5,1.7,66.2,1.8,1439,NA,NA,NA
GV01,2007-02-22T12:58:00Z,0.1,0.3,0.2,85.4,0.6,1333,NA,NA,NA
AB00,2004-03-03T15:25:00Z,9.6,58.7,3.6,105.4,4.8,1420,NA,NA,NA
AT07,2005-02-19T03:06:00Z,2.8,28.9,10.1,48.1,7.4,312,NA,NA,NA
GV01,2003-11-08T15:40:00Z,4.1,18.1,2.2,27.5,2.1,1424,NA,NA,NA
MC00,2011-02-27T11:25:00Z,0.2,36.9,NA,53.5,2.2,811,NA,NA,NA
SP02,2009-04-07T17:45:00Z,1,24.7,3.7,133.4,8.2,816,NA,NA,NA
RG01,2009-12-11T21:40:00Z,0.5,52.7,1.5,132.3,3.2,2639,NA,NA,NA
AB00,2008-01-27T02:03:00Z,1.4,40.5,12.2,77.8,12.7,281,NA,NA,NA
AB00,2009-02-07T00:45:00Z,1.2,24,6,53.8,6.2,576,NA,NA,NA
MC06,2010-11-07T15:10:00Z,2.2,8,1.6,30.1,2.6,1194,NA,NA,NA
MC00,2001-10-30T19:05:00Z,30.3,157,20.3,322.3,24.2,NA,1035.8,112.9,5.5
GV01,2005-05-07T10:09:00Z,1.6,17.6,0.2,21.8,0.2,1286,49.1,3.7,4.4
DV01,2006-04-06T14:08:00Z,5.7,71.2,9.4,173.2,8.6,1597,NA,NA,NA
RS02,2005-01-03T01:45:00Z,0.2,60.2,2.1,74.9,2,176,NA,NA,NA
AB00,2005-03-18T15:31:00Z,4.9,102,1.8,133.8,0.7,1534,NA,NA,NA
TO02,2006-02-19T11:00:00Z,0.6,650.7,0.7,514.8,0.6,1322,NA,NA,NA
BC02,2006-03-17T15:00:00Z,0.1,605.6,1.2,598.3,1.2,1580,NA,NA,NA
RS02,2003-11-01T09:44:00Z,0.3,11.1,2.1,26.5,2.5,863,NA,NA,NA
RG01,2004-10-20T03:46:00Z,0.2,120.5,4.4,198.8,4.9,798,185,15,2.3
RG01,2003-05-04T21:54:00Z,0.3,68.6,1.1,69.9,1,1252,15.7,1.7,NA
MC06,2010-12-20T12:00:00Z,1.2,200.4,3.4,246,3.7,355,NA,NA,NA
BC02,2006-02-27T11:00:00Z,0.6,1847.2,2.2,1834,1.9,2352,NA,NA,NA
ON02,2005-05-07T10:03:00Z,0.4,59.2,0.8,55.6,0.5,906,21.7,1.6,NA
GV01,2005-11-10T00:16:00Z,0.1,37.1,1.7,82.6,1.6,1375,NA,NA,NA
MC00,2004-02-18T07:36:00Z,78,96.8,9.3,277.1,11.5,610,NA,NA,NA
AB00,2009-02-17T08:55:00Z,0.3,14,10.8,43.3,10.2,337,NA,NA,NA
RS02,2006-02-27T14:09:00Z,0.5,16.3,0.4,13,0.5,755,NA,NA,NA
BC02,2006-01-14T07:55:00Z,0.2,1361.9,1.5,1287.2,2.2,2043,NA,NA,NA
RS02,2004-02-25T11:59:00Z,0.2,2.2,1.8,7.1,2,742,NA,NA,NA
BC02,2006-02-19T10:32:00Z,0.6,1135.7,5.6,1024.4,6.6,1466,NA,NA,NA
MC00,2009-12-14T00:00:00Z,0.9,232.1,3.9,345.2,4.4,622,NA,NA,NA
DV01,2003-12-25T11:00:00Z,17.7,91.4,11.7,207.1,12.8,1236,NA,NA,NA
RG01,2009-03-04T08:15:00Z,0.4,59.5,0.2,80.7,0.4,1826,NA,NA,NA
BC02,2005-01-25T17:53:00Z,0.9,650.2,3.9,583.3,1.2,1522,NA,NA,NA
TO02,2008-01-23T13:30:00Z,1,236.8,4.9,282.6,5.9,294,NA,NA,NA
RS02,2004-02-26T17:15:00Z,0.2,38.7,1.3,61.2,1.8,535,NA,NA,NA
ON02,2005-01-09T06:04:00Z,1.9,299.5,2.5,339.2,1.9,272,6750.6,719.2,192.6
AB00,2009-02-18T09:55:00Z,4.5,36.8,6.2,71,4.6,1299,NA,NA,NA
RG01,2006-03-06T18:18:00Z,0.2,118.7,0.4,144,0.6,1372,NA,NA,NA
MC00,2005-02-14T11:12:00Z,1.4,45.9,1.9,53.2,0.2,1237,NA,NA,NA
GV01,2007-04-20T09:00:00Z,0.8,3,0.6,54,0.3,1394,NA,NA,NA
MC00,2008-02-24T13:00:00Z,0.7,22,2.9,47.9,3.4,NA,NA,NA,NA
RG01,2007-01-28T23:21:00Z,0.2,91.2,1.2,145.9,1.4,1932,NA,NA,NA
DV01,2005-02-23T11:05:00Z,3.7,61.5,13.4,157.2,14.3,769,NA,NA,NA
MC00,2001-11-29T07:25:00Z,0.6,32.6,5.5,83,9.6,NA,971.8,54.5,4.3
SP02,2011-02-17T14:04:00Z,0.8,125.4,1.9,167.8,3.1,978,NA,NA,NA
GV01,2004-12-27T17:14:00Z,2.3,85.2,4.5,135.4,13.2,549,3779,497.9,252.2
AT07,2006-04-14T16:05:00Z,2.7,31.5,7.3,60.9,8.2,821,NA,NA,NA
MC00,2009-12-11T01:55:00Z,6.4,35.8,5.6,91.3,6.2,171,NA,NA,NA
RG01,2004-02-28T12:38:00Z,0.5,136.7,2.1,159.7,1.7,1651,NA,NA,NA
RS02,2004-11-30T15:22:00Z,0.4,0.5,1.6,4.6,2.3,969,NA,NA,NA
DV01,2004-09-29T14:35:00Z,1,0.1,0.1,63.8,2.6,4842,NA,NA,NA
ON02,2005-05-01T21:04:00Z,0.5,49.5,0.9,51.4,0.4,1060,NA,NA,NA
AB00,2011-02-18T19:50:00Z,0.6,NA,2.3,25.9,3,239,NA,NA,NA
AT07,2005-08-07T11:00:00Z,0.6,6.5,6,34.9,5.7,NA,NA,NA,NA
HO00,2012-01-24T05:00:00Z,0.7,1.3,0.2,10.4,0.2,819,NA,NA,NA
DV01,2007-01-27T17:25:00Z,36.2,88,10.1,213.6,10.9,953,NA,NA,NA
AB00,2004-02-18T17:06:00Z,9.7,34.8,7.1,77.8,8.2,276,NA,NA,NA
AB00,2010-12-18T14:00:00Z,0.3,30,4.6,65.8,4.8,385,1020.5,81.8,NA
MC00,2007-01-27T11:14:00Z,21.5,85.9,12.4,231.1,13.6,208,NA,NA,NA
GV01,2007-01-28T02:51:00Z,0.3,0.4,0.2,41.8,0.7,1373,NA,NA,NA
MC00,2010-01-18T12:25:00Z,4,38.9,6.7,99.2,20.7,802,NA,NA,NA
GV01,2005-01-02T20:58:00Z,0.3,55.9,13.4,98.2,6.9,579,5086.7,409.4,562.8
BC02,2005-07-27T14:04:00Z,0.5,1827.7,1.4,984.4,1.4,2675,NA,NA,NA
GV01,2010-01-17T13:30:00Z,5,5.6,NA,20.2,17.5,1243,NA,NA,NA
GV01,2005-03-19T03:52:00Z,0.1,33.8,3.7,51.9,2.6,1357,233.8,28.1,73
AB00,2009-02-06T23:45:00Z,0.8,22.8,6.4,52.2,6,475,NA,NA,NA
GV01,2005-01-07T18:05:00Z,0.3,89.1,13,133.8,21.3,484,4991.1,433.3,648.7
ON02,2005-11-09T07:06:00Z,0.5,120.6,NA,142.8,1.3,540,NA,NA,NA
MC00,2005-05-06T07:40:00Z,0.2,17,1.2,29.2,0.2,724,25.6,3.4,0.4
MC06,2001-12-02T18:30:00Z,0.1,16,5.8,26,6.7,NA,68.1,5.4,0.3
RG01,2006-02-27T18:18:00Z,0.3,99.9,0.4,123.2,1.2,1267,NA,NA,NA
RS02,2006-04-07T03:22:00Z,0.1,23.4,0.1,36.2,1.1,402,NA,NA,NA
AT07,2006-01-04T09:04:00Z,1,143.2,6.5,189.4,8.1,1814,NA,NA,NA
MC00,2009-10-13T18:20:00Z,37.4,50.8,12.9,158.3,14.1,260,NA,NA,NA
AB00,2004-10-26T16:17:00Z,10.2,23.6,9.8,65.6,8.7,209,NA,NA,NA
RG01,2008-01-04T12:29:00Z,0.4,52.6,1.9,97,2.6,837,NA,NA,NA
GV01,2009-02-06T12:00:00Z,0.1,2,0.9,19.3,1,1341,NA,NA,NA
RG01,2008-01-05T18:04:00Z,0.4,223.2,1.8,242.7,1.3,765,NA,NA,NA
GV01,2011-02-18T00:43:00Z,1.3,NA,0.3,54.1,2.7,638,NA,NA,NA
AB00,2009-02-07T22:45:00Z,3.3,35.1,7.7,64.8,5.8,769,NA,NA,NA
RS02,2010-04-20T11:35:00Z,2.2,15,1.9,77.8,4.5,219,NA,NA,NA
ON02,2005-12-03T12:51:00Z,1.5,0.5,0.2,12.3,0.2,941,NA,NA,NA
RG01,2003-10-31T17:40:00Z,0.5,44.4,7.4,185.9,8.3,2138,NA,NA,NA
GV01,2006-04-03T11:00:00Z,0.8,7.1,4.9,38,4.6,580,NA,NA,NA
